0.01	-724.0745544	-1429.390103
0.013894955	-316.4975471	-1187.037908
0.019306977	-80.79593842	-914.1152015
0.026826958	77.2127749	-684.3760834
0.037275937	171.9225795	-497.8893273
0.051794747	226.8939781	-358.0297403
0.071968567	254.7236527	-258.990583
0.1	277.5246084	-190.2924206
0.13894955	285.5817509	-133.9023257
0.26826958	289.9090728	-74.75958681
1	298.9361138	-39.63892646
1.9306977	292.6126433	-53.91186586
3.7275937	270.4233122	-84.99436462
5.1794747	249.2905333	-102.6713359
7.1968567	220.3360293	-118.8927964
10	184.9995416	-128.5128945
13.894955	147.8607502	-131.2196991
19.306977	112.0681374	-123.5331925
26.826958	79.73850028	-108.1439402
51.794747	37.45224829	-74.05735169
100	19.23673016	-44.22245556
