0.01	583.4695881	-204.3255514
0.013894955	516.6210431	-226.4068934
0.019306977	436.3436912	-208.0634525
0.026826958	367.297072	-216.5452678
0.037275937	314.5450265	-179.2591833
0.051794747	273.0624509	-143.7623973
0.071968567	253.0122378	-116.7175462
0.1	236.4332493	-85.5286763
0.13894955	229.404944	-66.74514202
0.19306977	222.2986329	-55.04365941
0.26826958	218.559137	-45.5359999
0.37275937	213.1999477	-36.71230739
0.71968567	207.2594536	-33.91259047
1.3894955	199.3176364	-37.57588631
1.9306977	192.6915167	-43.01028693
2.6826958	184.4455973	-49.55991416
3.7275937	174.4124155	-58.12880294
5.1794747	160.3301066	-65.95081854
7.1968567	142.847606	-72.98073991
10	123.6854669	-77.32793896
13.894955	102.3299123	-79.27790076
19.306977	82.08888263	-76.80185493
26.826958	61.63029424	-70.64974739
37.275937	46.67609908	-63.40442215
51.794747	32.45625752	-51.23712309
71.968567	22.57122126	-40.91766941
100	16.17385569	-31.96308232
193.06977	9.904324898	-18.28710027
517.94747	6.995084905	-7.637728128
100000	5.673681683	0.00820872
